Tool,GitHub URL,Layer,What it does,Conflict / Overlap,Runtime,Requirements,Licence,Stars (15 Jul 2026),Trend (30d),Activity (Issues / PRs),Activity Status,Verdict,Decision Rule
magic-context,https://github.com/cortexkit/magic-context,Conversation history management,"OpenCode plugin. Background historian compresses older conversation into compartments + facts while main agent keeps working. Cache-aware queued reductions (never busts prompt cache). Cross-session project memory (architecture decisions, preferences). Dreamer: overnight agent consolidates/verifies memories, maintains ARCHITECTURE.md. User memory: developer behavioural observations promoted across sessions. Key file pinning. 5 agent tools (ctx_reduce, ctx_expand, ctx_note, ctx_memory, ctx_search). TUI sidebar. Desktop app. v0.15.7. 72 releases. ⚠ OpenCode-only — does not work with Claude Code.","⛔ HARD ctx_* namespace collision with lean-ctx (ctx_memory, ctx_search, ctx_note). OpenCode-only anyway — not applicable in Claude Code.",TypeScript + Rust (Bun),⚠ OpenCode only (not Claude Code); Bun runtime,MIT,1300,▲ +84%,"84+ open issues, 34 forks, 72 releases, v0.15.7 Apr 2026, 483 commits, very active",🟢 Very active,Add — best-in-class conversation history management (OpenCode only),⚠ OpenCode-only — does not work with Claude Code. If you use OpenCode: best-in-class for this layer by a wide margin. 72 releases in ~2 months. Disable OpenCode built-in compaction before installing. bunx --bun @cortexkit/opencode-magic-context@latest setup.
qmd,https://github.com/tobi/qmd,Personal knowledge retrieval,Local hybrid search: BM25 + vector + LLM reranking over your own notes/docs. Bun-native.,Partial overlap with graphify and SocratiCode — different corpus,Node.js/Bun,Node.js 18+ or Bun; no model calls,MIT,28000,▲ +70%,"low churn, mature, stable issue/PR rate",🟡 Stable,Add — personal knowledge search,"Indexes your own notes, docs, and transcripts. BM25 + vector + LLM reranking. Bun-native, MIT. Zero conflict with other tools here."
iwe,https://github.com/iwe-org/iwe,Personal knowledge retrieval,"Rust LSP + knowledge graph for your markdown notes. Understands document structure (parent-child hierarchy via inclusion links, cross-references). AI agent integration server lets Claude/Codex/Gemini search, read, and update notes with full structural context. Graph traversal: backlinks, parent context, section extract/inline. CLI: squash, export DOT graph, analyse. Works in VS Code, Neovim, Zed, Helix. v0.1.2. 56 releases.","Overlaps qmd (both serve personal knowledge to AI agents — iwe=graph traversal/LSP, qmd=BM25+vector search). Overlaps graphify (both build knowledge graphs — iwe=Markdown only, graphify=multimodal). Stackable not competitive.",Rust,Rust binary; no model calls; brew install iwe,Apache-2.0,1300,▲ +30%,"2 open issues, 44 forks, 56 releases, v0.1.2 recent, solo maintainer, active",🟡 Active,"Add — complements qmd, different mechanism","Stack alongside qmd: iwe for structured graph traversal and note refactoring, qmd for hybrid search relevance. iwe gives AI agents parent-context and structural navigation; qmd gives AI agents ranked search across unstructured corpus. brew install iwe."
graphthulhu,https://github.com/skridlevsky/graphthulhu,Personal knowledge retrieval,"Go MCP server. Full read-write access to Logseq and Obsidian knowledge graphs. 39 tools: navigate (get_page with full block trees, BFS path traversal), search (full-text with parent chain context, DataScript/Datalog for Logseq), analyze (orphan detection, topic clusters, knowledge gaps), write (create/update/delete/move/rename with backlink propagation), decision protocol (check/create/resolve/defer), journal range queries, flashcard SRS (Logseq), whiteboard inspection (Logseq). File watching keeps index in sync. v0.5.0. go install or binary download.",⚠ get_references name clashes with pharos-mcp and codegraph find_references. search clashes semantically with qmd if both loaded — add CLAUDE.md routing rules. 39 tools = significant schema load (use Tool Search deferral). Complements qmd (different corpus: Logseq/Obsidian graph vs arbitrary files) and iwe (different integration depth).,Go,Go binary; no model calls; Logseq HTTP API must be enabled for Logseq; Obsidian reads .md directly,MIT,171,▲ +18%,"26 forks, 5 releases, v0.5.0 Apr 2026, 458 LobeHub installs, 19 commits, solo dev",🟡 Active,Add — unique deep Logseq/Obsidian integration,"Only tool here giving agents deep Logseq/Obsidian integration. Stackable with qmd (different corpus) — add CLAUDE.md routing: ""for Logseq/Obsidian content use graphthulhu, for other notes use qmd"". ⚠ 39 MCP tools = high schema overhead — pair with token-optimizer or Tool Search deferral. Logseq requires HTTP API server enabled. Obsidian: no plugins needed, reads .md directly."
mfs,https://github.com/zilliztech/mfs,Personal knowledge retrieval,"Unifies every context source under one URI scheme and one verb set. Two skills: mfs-ingest (mfs add registers/syncs any source), mfs-find (search, grep, ls, cat, tree, head, tail across what is ingested). Connectors: local files, S3/R2/GCS/MinIO, Google Drive, Postgres, MySQL, MongoDB, BigQuery, Snowflake, GitHub (files+issues+PRs), Jira, Linear, HubSpot, Zendesk, Slack, Discord, Gmail, Feishu, Notion, crawled web. --all fans one query across every registered source. Default stack is fully local: ONNX embedding (BGE-M3 int8, ~600MB one-time download, no API key/GPU/cloud), Milvus Lite (local file), SQLite metadata — scales to self-hosted Milvus or Zilliz Cloud + Postgres for production. Credential TOMLs hold only env:/file: references, never raw secrets — real values resolve server-side. 70+ agent integrations via npx skills add. Python/TS/Rust SDKs for building on top. v0.4.3 (installer), 146 commits. 3rd iteration of a Zilliz lineage (claude-context, memsearch).","Broadest-scope tool in this comparison — spans personal knowledge retrieval, library docs, tabular data, and agent memory persistence simultaneously rather than one category. Does not compete with single-purpose tools (qmd, jdatamunch-mcp, graphthulhu) so much as offer to subsume them under one namespace. No MCP server currently — skills + CLI + SDK only, unlike most other tools in this comparison.",Python (89%) + TypeScript + Rust,"Local mode: no API key, no GPU, no cloud account — ~600MB ONNX model auto-downloaded on first run. Optional: OpenAI/Gemini/Voyage/Ollama embedding providers, Zilliz Cloud or self-hosted Milvus, Postgres. uv tool install mfs-server or cargo install mfs-cli, or npx skills add zilliztech/mfs --all -g for agent skill install.",Apache-2.0,103,▲ +2475%,"2 forks, 5 releases, v0.4.3 (latest installer)/v0.4.1 (page), 146 commits, backed by Zilliz (Milvus vector DB company) — genuinely early despite company backing",🔴 Early,"Add — broadest-scope context unification tool here, genuinely local-first, but very early","Only tool in this comparison trying to unify code + memory + docs + chat + tickets + databases + cloud storage under one interface. Default stack is fully local and offline (ONNX + Milvus Lite + SQLite) — no forced cloud dependency unlike supermemory or githits-cli, though Zilliz Cloud is available to scale. Credential design is notably careful: TOML never holds raw secrets. 4 stars reflects genuine novelty/earliness, not a red flag — backed by the same team behind Milvus. No MCP server yet (skills/CLI/SDK only) — watch for that to land given every other new tool in this comparison ships one."
context (neuledge),https://github.com/neuledge/context,Library documentation retrieval,"Community registry of 100+ versioned library doc packages. Local SQLite FTS5, <10ms queries.",—,Node.js,Node.js 18+; no model calls; SQLite bundled,Apache-2,333,▲ +208%,"moderate issue/PR flow, community contributions",🟡 Active,Add — unique layer,No other tool serves versioned upstream library docs. Check Bun/Drizzle/Hono registry coverage first.
jdocmunch-mcp,https://github.com/jgravelle/jdocmunch-mcp,Library documentation retrieval,"Indexes any documentation set once by heading hierarchy; agents retrieve exact sections via stable byte-offset IDs rather than reading entire files. 10 MCP tools: index_local, index_repo, get_toc, get_toc_tree, search_sections, get_section, get_sections + more. SHA-256 drift detection. Security filtering. _meta envelope reports tokens saved per call. 2.3k LobeHub installs. Python/pip install or uvx. v0.1.1.",⚠ index_local and list_datasets names clash with jdatamunch-mcp — agent cannot distinguish doc indexing from data indexing if both are loaded.,Python/pip,Python 3.10+; no model calls; uvx jdocmunch-mcp,Dual-use (free non-commercial; paid commercial),187,▲ +15%,"39 forks, 131 CI runs, v0.1.1, 2.3k LobeHub installs, active",🟡 Active,Add — unique on-demand doc indexing,"Commercial use requires paid licence (same model as jCodemunch — same author). Free for personal/OSS use. Complements context (neuledge): use neuledge for registry-packaged libs (Next.js, Prisma, etc.), jDocMunch for any arbitrary repo or local doc set. uvx jdocmunch-mcp to install."
githits-cli,https://github.com/githits-com/githits-cli,Library documentation retrieval,"Version-aware index of the entire public open-source ecosystem, hosted on GitHits infrastructure (Rust indexer, Elixir coordination, Python agentic layer). Local MCP server + CLI let agents search/read/grep the exact source of any npm/PyPI/Crates/NuGet/Maven/Go/RubyGems/Hex/Packagist package at the installed version, without cloning. get_example: cross-repository prior-art search (""HTTP retries with exponential backoff in Python"") sourced from repos, issues, discussions, PRs. pkg_vulns, pkg_deps, pkg_changelog, pkg_upgrade_review for dependency evidence. docs_list/docs_read for hosted+repo-backed documentation. License filtering: strict (default, excludes copyleft/undeclared) / custom (account blocklist) / yolo (disabled). 19 supported coding tools including Claude Code, Cursor, Codex CLI, Gemini CLI. v0.6.1, 48 releases, 516 commits.",No MCP tool name conflicts with existing tools. Closest to context (neuledge) and jdocmunch-mcp (library documentation retrieval) but broader scope: indexes the entire public OSS ecosystem on GitHits own infrastructure rather than pre-packaged libraries or self-indexed local docs.,TypeScript (Node.js CLI + hosted backend),"⚠ SaaS-hosted — requires GitHits account + OAuth login; all indexing runs on GitHits infrastructure, CLI/MCP calls their API. Node.js ^20.12.0 or >=22.13.0. npx githits@latest init. Forever-free tier available; credit-based for indexed search beyond free tier.",Apache-2.0,71,▲ +9%,"4 forks, 48 releases, v0.6.1 Jul 3 2026, 516 commits, 2 open issues, 2 open PRs — founded by opencv-python creator (100M+ downloads), covered on Product Hunt and HN",🟢 Very active,"Add — unique ecosystem-wide OSS search, but SaaS-dependent","Only tool in this comparison indexing the entire public OSS ecosystem rather than your own repo or a pre-packaged library set. get_example cross-repository prior-art search has no equivalent elsewhere here. Founders: opencv-python creator (100M+ downloads) as CTO, ex-Smartly chief architect. Credentials stored in system keychain; GITHITS_API_TOKEN for CI/headless. Does not access private repos. Forever-free tier exists but core value requires an ongoing account relationship with GitHits — not a self-hosted or one-time-install tool like most others in this comparison."
Understand Anything,https://github.com/Lum1104/Understand-Anything,Codebase understanding & onboarding,"6-agent LLM pipeline → knowledge graph + interactive dashboard. Guided tours, domain/business logic view, diff impact, committable graph. v2.5.0. Claude Code (native plugin), Cursor, Copilot, Codex, OpenCode, Gemini CLI, Cline, Hermes, KIMI, and 5 more platforms (14 total). ⚠ Uses Claude Code plugin system as primary install on Claude Code but works on 14 platforms via install.sh.",Visual/structural overlap with graphify and GitNexus — different purpose: human understanding vs agent tool calls,Node.js (pnpm),⚠ Calls Anthropic API per /understand run (charges API tokens); Node.js 18+ / pnpm,MIT,74000,▲ +403%,"1.4k forks, 14.7k stars, 57 watchers, v2.5.0, 6 releases, 496 commits, very active",🟢 Very active,Add — unique layer (onboarding + human understanding),"Run periodically (onboarding, architecture reviews) not every session. Costs API tokens per /understand run."
CodeBoarding,https://github.com/CodeBoarding/CodeBoarding,Codebase understanding & onboarding,"Static analysis + LLM pipeline generating interactive architecture diagrams and component docs committed to .codeboarding/. CLI, VS Code extension, Open VSX extension, GitHub Action. Incremental updates (--incremental, --partial-component-id). Mermaid output for docs and PRs. 800+ public repos visualised (codeboarding.org/diagrams). Supports Python, TS, JS, Java, Go, PHP. All major LLM providers. v0.9.5.","Complementary to Understand Anything (both LLM-powered onboarding — CodeBoarding=persistent committed diagrams, UA=session dashboard). GitHub Action is unique: only tool here that updates architecture docs in CI. No overlap with agent-optimised code nav tools (GitNexus, codegraph) — different consumer (human vs agent).",Python/pip,See README,MIT,2300,▲ +109%,"90 forks, 16 releases, v0.9.5, 323 commits, 4 open issues, 4 open PRs, active",🟡 Active,Add — unique persistent diagram layer,"Complementary to Understand Anything: run CodeBoarding for committed architecture docs updated in CI, run UA for session-level exploration. GitHub Action is unique in this comparison — auto-updates .codeboarding/ on every PR. Costs LLM API tokens per run. pip install codeboarding then codeboarding-setup then codeboarding --local /path/to/repo."
GitNexus,https://github.com/abhigyanpatwari/GitNexus,Code navigation,"Zero-server code intelligence engine. Client-side KG in browser. CLI: gitnexus analyze → LadybugDB (not KuzuDB). 16 MCP tools. --skills generates CLAUDE.md skill files per codebase area (Leiden community detection). Hybrid BM25+semantic search. Embeddings (Snowflake arctic-embed-xs). Global registry, multi-repo, no per-project MCP config. Enterprise tier. Cosign SLSA supply-chain attestations. PolyForm NC (free personal/OSS).",Supersedes codebase-memory-mcp and code-review-graph functionally; overlaps Serena/SocratiCode/codegraph,Node.js,Node.js 18+; no model calls; npm install,PolyForm Noncommercial,44000,● flat,"155 contributors, 43.8k confirmed via star-history.com live tracker (+11/week), independent research (Ry Walker) corroborates April-June growth to ~42k range",🟢 Very active,Best in class — code nav,"PolyForm NC licence now explicitly has enterprise commercial tier. | PolyForm NC: free for personal/OSS, commercial needs akonlabs licence. ⚠ Multiple Windows crash bugs (SEGFAULT, FTS5 unavailable via MCP, LadybugDB Access Violation). Serialize heavy MCP queries."
codebase-memory-mcp,https://github.com/DeusData/codebase-memory-mcp,Code navigation,"Structural graph queries: call chains / cross-svc HTTP / dead code / Cypher multi-hop. 155 languages. SLSA Level 3. v0.6.0: now adds semantic search, SIMILAR_TO edges, cross-language intelligence. npm/PyPI/Homebrew/Scoop/Winget install.","⛔ HARD tool name collision with codegraph (search_code, get_symbols, find_references, get_dependencies) and pharos-mcp and CodeGraphContext. Pick one MIT code nav tool.",Go binary,Go static binary; no model calls; npm/PyPI/Homebrew/Scoop/Winget,MIT,32000,▲ +152%,"confirmed 12.7k stars (was 2.5k, 5x jump), DeusData/codebase-memory-mcp daily trending",🟢 Hyper-active,"Add — MIT code nav, 155 languages","MIT, zero-config static binary, 155 languages, v0.6.0. Semantic search + structural graph queries. Use as primary MIT code nav or alongside GitNexus if PolyForm NC is a concern."
code-review-graph,https://github.com/tirth8205/code-review-graph,Code navigation,"Blast-radius + risk scoring for changed files. v2.3.3. 23 languages, 572 tests, 1400 forks.",⛔ HARD blast radius collision with contextplus (analyze_changes vs get_blast_radius). Also overlaps GitNexus detect_changes.,Python/pip,Python 3.10+; no model calls; pip install,MIT,20000,▲ +28%,"141 commits since v2.3.2, 6 community PRs merged, v2.3.3 recent",🟢 Very active,MIT fallback for GitNexus detect_changes,Keep if GitNexus NC licence is a blocker. Different trigger (pre-commit vs mid-session).
reposcry,https://github.com/zibouddd/reposcry,Code navigation,"Rust-native local code graph built around a fast edit loop. 5 binaries: main CLI, incremental updater (reposcry-update), watch mode (reposcry-watch), graph exporter (reposcry-export), expanded MCP server (reposcry-mcp-plus). CRG-compatible commands: get_architecture_overview, query_graph, get_impact_radius, get_affected_flows, semantic_search_nodes, refactor_tool. Install templates for 19 AI platforms. Multiple semantic backends (Ollama, fastembed, Candle/Qwen3). SQLite cache. v0.1.3. Parser-backed: Rust, TS, JS, Python, JSON, TOML, YAML. File-level only: Go, Java, C#, C/C++ (planned).","⚠ get_impact_radius name clashes with contextplus get_blast_radius (same concept, agent confusion risk). list_symbols overlaps pharos-mcp/Serena/codebase-memory-mcp get_symbols. Structural graph overlaps codegraph and codebase-memory-mcp. CRG compatibility layer overlaps code-review-graph directly.",Rust,Rust binary; optional Ollama/fastembed/Candle for semantic search; cargo install reposcry-cli,MIT,13,▲ +117%,"0 forks, 5 commits, v0.1.3 released 26 May 2026, solo dev — brand new today",🔴 Early,"Watch — too early, exceptionally honest README","6 stars, released today. README explicitly states limitations: call resolution is heuristic, dynamic imports under-approximated, Go/Java/C# file-level only (not parser-backed yet). Widest platform coverage (19 platforms) of any tool here. Fast edit loop philosophy (semantic opt-in) is unique design choice. cargo install reposcry-cli. Revisit when parser-backed Go/Java/C# ships."
sourcebot,https://github.com/sourcebot-dev/sourcebot,Code navigation,"Self-hosted code intelligence platform (Docker Compose + PostgreSQL + Redis). Ask Sourcebot: NL questions answered with inline citations via reasoning model + code search. Blazingly fast code search across all repos/branches (Zoekt trigram engine, regex/boolean/filter support). IDE-level code nav: goto definition, find references. Built-in file explorer with syntax highlighting. Official MCP server for agent integration. Supports GitHub, GitLab, Gitea, Gerrit, Bitbucket. 144 releases, v4.17.2. 469K Docker pulls.","⚠ search_code and find_references MCP tools conflict with pharos-mcp, codegraph, codebase-memory-mcp if all loaded simultaneously. Unique: only self-hosted web platform in this comparison — serves humans via web UI AND agents via MCP from same deployment.",TypeScript (Docker),⚠ Requires Docker Compose + PostgreSQL + Redis; no model calls for search (Ask Sourcebot NL feature calls LLM),Fair Source,3600,▲ +6%,"84 open issues, 42 open PRs, 275 forks, 1196 commits, 144 releases, v4.17.2 May 2026 — very active team",🟢 Very active,Add — best self-hosted code search platform,"Fair Source: source-available, internal commercial use permitted, embedding/reselling needs commercial agreement. Requires Docker Compose + PostgreSQL + Redis — real infra commitment vs zero-config tools. Set SOURCEBOT_TELEMETRY_DISABLED=true on deploy. 469K Docker pulls = strongest adoption signal in this comparison. docker compose up is the entire install."
SocratiCode,https://github.com/giancarloerra/SocratiCode,Code navigation,"Hybrid semantic search + structured artifacts (SQL schemas, OpenAPI specs, Terraform); Docker-managed Qdrant",Semantic overlaps GitNexus; structured artifacts overlap graphify,Node.js + Docker,⚠ Requires Docker (Qdrant container); Node.js 18+,AGPL-3,3100,▲ +384%,moderate issue/PR flow,🟡 Active,Add if you have structured non-code files,Route for schema/spec queries. Add CLAUDE.md routing.
